Input;Output
Prompt: Describe the role of AI in healthcare.;Optimize this prompt to: 'Explain how AI technologies can improve diagnostic and treatment accuracy in healthcare.'
Prompt: How can I speed up the implementation of a neural network in Python?;Optimize this prompt to: 'Explain efficient methods to accelerate neural network implementation in Python, listing specific libraries or techniques.'
Prompt: I need tips for better data visualization in Python.;Optimize this prompt to: 'What techniques and libraries are best for creating professional data visualizations in Python? Provide best practices and specific examples.'
Subject: Data Science, Context: I want to understand how to process large datasets efficiently.;How can I efficiently process large datasets in data analysis? List specific strategies and tools for data scientists.
Subject: Marketing, Context: I'm looking for ideas to promote a new product on social media.;What innovative strategies work well for promoting a new product on social media? Please include specific platforms and approaches.
Prompt: Generate a competitive analysis across industries and market.;Consider improving this prompt to: 'Generate a detailed competitive analysis across relevant industries including market related highlights.'
Prompt: Summarize new impactful technologies.;Consider improving this prompt to: 'Generate a summary of emerging technologies with the most significant impact on some industries.'
Subject: Research, Context: I'm looking for a competitive analysis on industries and market highlights.;Generate a detailed competitive analysis across relevant industries including market related highlights.
Subject: Research, Context: I want a summary of the newest most important technologies.;Generate a summary of emerging technologies with the most significant impact on some industries.
Prompt: Do a market research in an industry using an URL.;Optimize this prompt to: 'Conduct a market research in a specific industry using specified URLs as source of information.'
Subject: Market Resarch, Context: I want a market research on an industry using URLs.;Conduct a market research in a specific industry using specified URLs as source of information.
Prompt: Summarize meeting notes including discussion, action items, and future topics.;Optimize this prompt to: 'You will be provided with meeting notes, and your task is to summarize the meeting as follows: -Overall summary of discussion -Action items -a list of topics discussed in the next meetings.'
Subject: Business Administration, Context: I want a summary on provided meeting notes.;You will be provided with meeting notes, and your task is to summarize the meeting as follows: -Overall summary of discussion -Action items -a list of topics discussed in the next meetings.
Prompt: Generate a list of questions for a project retrospective report.;Consider improving this prompt to: 'I need to write a report detailing the successes, failures, and lessons learned from our recent project. Draft a list of questions. Include potential contributing factors to the problem or success of the project.'
Subject: Business Administration, Context: I want a list of questions for a project retrospective report.;I need to write a report detailing the successes, failures, and lessons learned from our recent project. Draft a list of questions. Include potential contributing factors to the problem or success of the project.
Prompt: Prepare questions employees may ask. Also generate potential answers.;Try rephrasing as: 'As the [Job Title] at [Company Name], I’m preparing for a company-wide meeting. I need help brainstorming challenging questions employees may ask about earnings, leadership changes, and company vision. Generate questions with confident, firm responses for each.'
Subject: Business Administration, Context: I'm hosting a meeting with the entire company and want to practice how to respond on tough questions.;As the [Job Title] at [Company Name], I’m preparing for a company-wide meeting. I need help brainstorming challenging questions employees may ask about earnings, leadership changes, and company vision. Generate questions with confident, firm responses for each.
Prompt: Create templates for emails, messages, and notes for customer.;Try rephrasing as: 'Draft templates for three different types of customer communication. Create a template for emails, [type of messages] messages, and [type of notes] notes for [type of customers] customers. Keep each template to one paragraph and use a [tone] tone.'
